DATE,TIME,FACTORY_LINE,ROBOT,PRODUCT_NUMBER,PRODUCT_NAME,QUANTITY
20190801,10:01:00,L100001,R1011,JP398764-01,J64-01,1
20190801,10:02:00,L100001,R1012,JP398764-01,J64-01,2
20190801,10:03:00,L100001,R1013,JP398764-01,J64-01,4
20190801,10:04:00,L100001,R1014,JP398764-01,J64-01,2
20190801,10:05:00,L100001,R1011,JP398764-01,J64-01,1
20190801,10:06:00,L100001,R1012,JP398764-01,J64-01,3
20190801,10:07:00,L100001,R1013,JP398764-01,J64-01,1
20190801,10:08:00,L100001,R1014,JP398764-01,J64-01,2
20190801,10:09:00,L100001,R1011,JP398764-01,J64-01,1
20190801,10:10:00,L100001,R1012,JP398764-01,J64-01,2
20190801,10:11:00,L100001,R1013,JP398764-01,J64-01,6
20190801,10:12:00,L100001,R1014,JP398764-01,J64-01,3
20190801,10:13:00,L100001,R1011,JP398764-01,J64-01,7
20190801,10:14:00,L100001,R1012,JP398764-01,J64-01,2
20190801,10:15:00,L100001,R1013,JP398764-01,J64-01,2
20190801,10:16:00,L100001,R1014,JP398764-01,J64-01,
20190801,10:17:00,L100001,R1011,JP398764-01,J64-01,3
20190801,10:18:00,L100001,R1012,JP398764-01,J64-01,1
20190801,10:19:00,L100001,R1013,JP398764-01,J64-01,1
20190801,10:20:00,L100001,R1014,JP398764-01,J64-01,2
20190801,10:21:00,L100001,R1011,JP398764-01,J64-01,4
20190801,10:22:00,L100001,R1012,JP398764-01,J64-01,2
20190801,10:23:00,L100001,R1013,JP398764-01,J64-01,2
20190801,10:24:00,L100001,R1014,JP398764-01,J64-01,3
20190801,10:25:00,L100001,R1011,JP398764-01,J64-01,1
20190801,10:26:00,L100001,R1012,JP398764-01,J64-01,3
20190801,10:27:00,L100001,R1013,JP398764-01,J64-01,1
20190801,10:28:00,L100001,R1014,JP398764-01,J64-01,4
20190801,10:29:00,L100001,R1011,JP398764-01,J64-01,9
20190801,10:30:00,L100001,R1012,JP398764-01,J64-01,2
20190801,10:31:00,L100001,R1013,JP398764-01,J64-01,10
20190801,10:32:00,L100001,R1014,JP398764-01,J64-01,3
20190801,10:33:00,L100001,R1011,JP398764-01,J64-01,2
20190801,10:34:00,L100001,R1012,JP398764-01,J64-01,1
20190801,10:35:00,L100001,R1013,JP398764-01,J64-01,2
20190801,10:36:00,L100001,R1014,JP398764-01,J64-01,1
20190801,10:37:00,L100001,R1011,JP398764-01,J64-01,
20190801,10:38:00,L100001,R1012,JP398764-01,J64-01,1
20190801,10:39:00,L100001,R1013,JP398764-01,J64-01,
20190801,10:40:00,L100001,R1014,JP398764-01,J64-01,1
20190801,10:41:00,L100001,R1011,JP398764-01,J64-01,1
20190801,10:42:00,L100001,R1012,JP398764-01,J64-01,1
20190801,10:43:00,L100001,R1013,JP398764-01,J64-01,1
20190801,10:44:00,L100001,R1014,JP398764-01,J64-01,1
20190801,10:45:00,L100001,R1011,JP398764-01,J64-01,2
20190801,10:46:00,L100001,R1012,JP398764-01,J64-01,1
20190801,10:47:00,L100001,R1013,JP398764-01,J64-01,1
20190801,10:48:00,L100001,R1014,JP398764-01,J64-01,1
20190801,10:49:00,L100001,R1011,JP398764-01,J64-01,1
20190801,10:50:00,L100001,R1012,JP398764-01,J64-01,1
20190802,15:01:00,L100002,R9001,JP398784-02,J84-02,1
20190802,15:02:00,L100002,R9002,JP398784-02,J84-02,2
20190802,15:03:00,L100002,R9003,JP398784-02,J84-02,1
20190802,15:04:00,L100002,R9004,JP398784-02,J84-02,1
20190802,15:05:00,L100002,R9005,JP398784-02,J84-02,1
20190802,15:06:00,L100002,R9006,JP398784-02,J84-02,2
20190802,15:07:00,L100002,R9007,JP398784-02,J84-02,2
20190802,15:08:00,L100002,R9008,JP398784-02,J84-02,3
20190802,15:09:00,L100002,R9009,JP398784-02,J84-02,1
20190802,15:10:00,L100002,R9010,JP398784-02,J84-02,3
20190802,15:11:00,L100002,R9011,JP398784-02,J84-02,1
20190802,15:12:00,L100002,R9012,JP398784-02,J84-02,4
20190802,15:13:00,L100002,R9011,JP398784-02,J84-02,4
20190802,15:14:00,L100002,R9005,JP398784-02,J84-02,4
20190802,15:15:00,L100002,R9006,JP398784-02,J84-02,4
20190802,15:16:00,L100002,R9007,JP398784-02,J84-02,2
20190802,15:17:00,L100002,R9008,JP398784-02,J84-02,1
20190802,15:18:00,L100002,R9003,JP398784-02,J84-02,1
20190802,15:19:00,L100002,R9004,JP398784-02,J84-02,2
20190802,15:20:00,L100002,R9005,JP398784-02,J84-02,1
20190802,15:21:00,L100002,R9006,JP398784-02,J84-02,1
20190802,15:22:00,L100002,R9007,JP398784-02,J84-02,1
20190802,15:23:00,L100002,R9008,JP398784-02,J84-02,1
20190802,15:24:00,L100002,R9003,JP398784-02,J84-02,1
20190802,15:25:00,L100002,R9004,JP398784-02,J84-02,1
20190802,15:26:00,L100002,R9005,JP398784-02,J84-02,1
20190802,15:27:00,L100002,R9006,JP398784-02,J84-02,1
20190802,15:28:00,L100002,R9007,JP398784-02,J84-02,2
20190802,15:29:00,L100002,R9008,JP398784-02,J84-02,
20190802,15:30:00,L100002,R9009,JP398784-02,J84-02,2
20190802,15:31:00,L100002,R9010,JP398784-02,J84-02,2
20190802,15:32:00,L100002,R9011,JP398784-02,J84-02,2
20190802,15:33:00,L100002,R9012,JP398784-02,J84-02,2
20190802,15:34:00,L100002,R9013,JP398784-02,J84-02,2
20190802,15:35:00,L100002,R9014,JP398784-02,J84-02,2
20190802,15:36:00,L100002,R9015,JP398784-02,J84-02,2
20190802,15:37:00,L100002,R9016,JP398784-02,J84-02,2
20190802,15:38:00,L100002,R9017,JP398784-02,J84-02,2
20190802,15:39:00,L100002,R9018,JP398784-02,J84-02,2
20190802,15:40:00,L100002,R9019,JP398784-02,J84-02,2
20190802,15:41:00,L100002,R9004,JP398784-02,J84-02,2
20190802,15:42:00,L100002,R9001,JP398784-02,J84-02,1
20190802,15:43:00,L100002,R9002,JP398784-02,J84-02,1
20190802,15:44:00,L100002,R9003,JP398784-02,J84-02,1
20190802,15:45:00,L100002,R9004,JP398784-02,J84-02,1
20190802,15:46:00,L100002,R9005,JP398784-02,J84-02,1
20190802,15:47:00,L100002,R9006,JP398784-02,J84-02,1
20190802,15:48:00,L100002,R9007,JP398784-02,J84-02,1
20190802,15:49:00,L100002,R9001,JP398784-02,J84-02,2
20190802,15:50:00,L100002,R9002,JP398784-02,J84-02,1
20190802,15:51:00,L100002,R9003,JP398784-02,J84-02,1
20190802,15:52:00,L100002,R9004,JP398784-02,J84-02,1
